review_text,label,split
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Paketleme çok iyi, ürün gayet iyi. Memnun kaldım.",Olumlu,TRAIN
Malzeme kalitesi kötü. Çok kötü deneyim.,Olumsuz,VALIDATE
"Ürün fena değil, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TEST
"Paketleme düzgün, ürün çok kaliteli. Memnun kaldım.",Olumlu,TRAIN
"Ürün yanlış ürün geldi, performansı kötü. Çok kötü deneyim.",Olumsuz,TRAIN
Beklediğim kadar hızlı değildi ama kullanılabilir.,Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Kargo biraz geç geldi, ürün hasarlı geldi. İade süreci çok zordu.",Olumsuz,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TRAIN
"Paketleme sağlam, ürün harika. Memnun kaldım.",Olumlu,TRAIN
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
"Ürün ortalama, işimi görüyor ama geliştirilebilir.",Nötr,VALIDATE
Hızlı çalışıyor ve iyi bir tercih. Kesinlikle tavsiye ederim.,Olumlu,TEST
Destek ekibi çözüm sunmadı. Memnun değilim.,Olumsuz,TRAIN
"Teslimat orta halliydi, paketleme vasattı.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
Malzeme kalitesi vasat. Pişman oldum.,Olumsuz,TRAIN
Malzeme kalitesi düşük. Tavsiye etmiyorum.,Olumsuz,TRAIN
"Teslimat orta halliydi, paketleme normaldi.",Nötr,TRAIN
Beklediğim kadar ortalama hızdaydı ama kullanılabilir.,Nötr,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
Hızlı çalışıyor ve fiyatı uygun. Çok memnun kaldım.,Olumlu,VALIDATE
"Kargo biraz geç geldi, ürün beklediğimden iyi. Çok memnun kaldım.",Olumlu,TEST
"Teslimat standarttı, paketleme normaldi.",Nötr,TRAIN
"Teslimat beklendiği gibiydi, paketleme standarttı.",Nötr,TRAIN
Malzeme kalitesi vasat. Tavsiye etmiyorum.,Olumsuz,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
"Teslimat orta halliydi, paketleme vasattı.",Nötr,TRAIN
"Genel olarak orta seviye, kararsız kaldım.",Nötr,TRAIN
"Paketleme özenli, ürün gayet iyi. Gayet başarılı.",Olumlu,TRAIN
Beklediğim kadar çok hızlı değildi ama kullanılabilir.,Nötr,TRAIN
"Ürün yanlış ürün geldi, problem çıkardı. Tavsiye etmiyorum.",Olumsuz,VALIDATE
"Teslimat normaldi, paketleme eh işte.",Nötr,TEST
Malzeme kalitesi berbat. Bir daha almam.,Olumsuz,TRAIN
Beklentimin üstünde ve fiyatı uygun. Tekrar alırım.,Olumlu,TRAIN
"Kargo çok hızlı geldi, ürün arızalı çıktı. Hayal kırıklığı.",Olumsuz,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
"Kargo çok hızlı geldi, ürün arızalı çıktı. Değişim istedim.",Olumsuz,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TRAIN
"Teslimat normaldi, paketleme standarttı.",Nötr,TRAIN
"Paketleme çok iyi, ürün çok kaliteli. Beklentimi karşıladı.",Olumlu,TRAIN
Malzeme kalitesi düşük. Bir daha almam.,Olumsuz,VALIDATE
Stabil ve parasını hak ediyor. Tekrar alırım.,Olumlu,TEST
Malzeme kalitesi kötü. Bir daha almam.,Olumsuz,TRAIN
Malzeme kalitesi vasat. Çok kötü deneyim.,Olumsuz,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
Malzeme kalitesi vasat. Pişman oldum.,Olumsuz,TRAIN
Destek ekibi hiç yardımcı olmadı. Şikayetçiyim.,Olumsuz,TRAIN
Destek ekibi ulaşılmazdı. Şikayetçiyim.,Olumsuz,TRAIN
"Teslimat normaldi, paketleme standarttı.",Nötr,TRAIN
Beklentimin üstünde ve parasını hak ediyor. Çok memnun kaldım.,Olumlu,TRAIN
Performansı harika ve fiyatı uygun. Tekrar alırım.,Olumlu,VALIDATE
Malzeme kalitesi kötü. Bir daha almam.,Olumsuz,TEST
"Genel olarak standart, çok emin değilim.",Nötr,TRAIN
"Paketleme düzgün, ürün çok kaliteli. Gayet başarılı.",Olumlu,TRAIN
Beklediğim kadar beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
"Kargo geç geldi, ürün harika. Tekrar alırım.",Olumlu,TRAIN
Beklediğim kadar çok hızlı değildi ama idare eder.,Nötr,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Paketleme düzgün, ürün harika. Memnun kaldım.",Olumlu,TRAIN
"Ürün yanlış ürün geldi, performansı kötü. Bir daha almam.",Olumsuz,TRAIN
Beklediğim kadar çok hızlı değildi ama idare eder.,Nötr,VALIDATE
Destek ekibi hiç yardımcı olmadı. Şikayetçiyim.,Olumsuz,TEST
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
"Genel olarak idare eder, çok emin değilim.",Nötr,TRAIN
"Kargo zamanında geldi, ürün kalitesiz çıktı. Değişim istedim.",Olumsuz,TRAIN
"Paketleme çok iyi, ürün gayet iyi. Memnun kaldım.",Olumlu,TRAIN
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
"Paketleme özenli, ürün gayet iyi. Beklentimi karşıladı.",Olumlu,TRAIN
Destek ekibi çözüm sunmadı. Çözülmedi.,Olumsuz,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
"Kargo biraz geç geldi, ürün arızalı çıktı. Değişim istedim.",Olumsuz,VALIDATE
"Ürün anlatıldığı gibi değil, çalışmadı. Tavsiye etmiyorum.",Olumsuz,TEST
"Kargo çok hızlı geldi, ürün eksik geldi. Değişim istedim.",Olumsuz,TRAIN
"Genel olarak normal, beklentim karışık.",Nötr,TRAIN
"Teslimat orta halliydi, paketleme normaldi.",Nötr,TRAIN
"Kargo zamanında geldi, ürün hasarlı geldi. Değişim istedim.",Olumsuz,TRAIN
"Genel olarak normal, deneyim orta.",Nötr,TRAIN
"Genel olarak normal, beklentim karışık.",Nötr,TRAIN
Malzeme kalitesi kötü. Pişman oldum.,Olumsuz,TRAIN
"Kargo biraz geç geldi, ürün eksik geldi. Değişim istedim.",Olumsuz,TRAIN
Beklediğim kadar beklediğim kadar hızlı değildi ama kullanılabilir.,Nötr,VALIDATE
"Ürün yanlış ürün geldi, performansı kötü. Tavsiye etmiyorum.",Olumsuz,TEST
"Ürün idare eder, işimi görüyor ama geliştirilebilir.",Nötr,TRAIN
Malzeme kalitesi kötü. Pişman oldum.,Olumsuz,TRAIN
"Ürün uyumsuz çıktı, performansı kötü. Çok kötü deneyim.",Olumsuz,TRAIN
"Teslimat beklendiği gibiydi, paketleme standarttı.",Nötr,TRAIN
Hızlı çalışıyor ve iyi bir tercih. Kesinlikle tavsiye ederim.,Olumlu,TRAIN
"Ürün anlatıldığı gibi değil, çalışmadı. Tavsiye etmiyorum.",Olumsuz,TRAIN
Beklediğim kadar beklediğim kadar hızlı değildi ama iş görür.,Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,VALIDATE
"Kargo biraz geç geldi, ürün eksik geldi. İade süreci çok zordu.",Olumsuz,TEST
Beklediğim kadar hızlı değildi ama iş görür.,Nötr,TRAIN
Stabil ve iyi bir tercih. Çok memnun kaldım.,Olumlu,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
"Genel olarak idare eder, deneyim orta.",Nötr,TRAIN
"Kargo geç geldi, ürün arızalı çıktı. Hayal kırıklığı.",Olumsuz,TRAIN
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
Malzeme kalitesi berbat. Bir daha almam.,Olumsuz,TRAIN
"Ürün anlatıldığı gibi değil, sürekli hata verdi. Tavsiye etmiyorum.",Olumsuz,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Sorunsuzdu.",Olumlu,VALIDATE
"Ürün fena değil, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TEST
Malzeme kalitesi düşük. Bir daha almam.,Olumsuz,TRAIN
"Teslimat orta halliydi, paketleme eh işte.",Nötr,TRAIN
"Paketleme düzgün, ürün gayet iyi. Beklentimi karşıladı.",Olumlu,TRAIN
"Ürün anlatıldığı gibi değil, sürekli hata verdi. Pişman oldum.",Olumsuz,TRAIN
"Genel olarak standart, deneyim orta.",Nötr,TRAIN
"Ürün yanlış ürün geldi, problem çıkardı. Bir daha almam.",Olumsuz,TRAIN
"Kargo zamanında geldi, ürün kalitesiz çıktı. Değişim istedim.",Olumsuz,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
Beklediğim kadar hızlı değildi ama iş görür.,Nötr,VALIDATE
"Teslimat normaldi, paketleme standarttı.",Nötr,TEST
"Ürün idare eder, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Ürün anlatıldığı gibi değil, sürekli hata verdi. Çok kötü deneyim.",Olumsuz,TRAIN
"Teslimat normaldi, paketleme normaldi.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Sorunsuzdu.",Olumlu,TRAIN
"Teslimat standarttı, paketleme eh işte.",Nötr,TRAIN
"Ürün ortalama, işimi görüyor ama geliştirilebilir.",Nötr,TRAIN
Hızlı çalışıyor ve iyi bir tercih. Tekrar alırım.,Olumlu,TRAIN
Destek ekibi çözüm sunmadı. Zaman kaybı.,Olumsuz,TRAIN
"Genel olarak orta seviye, çok emin değilim.",Nötr,VALIDATE
"Kargo biraz geç geldi, ürün harika. Tekrar alırım.",Olumlu,TEST
"Teslimat standarttı, paketleme eh işte.",Nötr,TRAIN
Malzeme kalitesi berbat. Çok kötü deneyim.,Olumsuz,TRAIN
"Ürün idare eder, işimi görüyor ama geliştirilebilir.",Nötr,TRAIN
Hızlı çalışıyor ve parasını hak ediyor. Tekrar alırım.,Olumlu,TRAIN
Beklediğim kadar çok hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
Beklentimin üstünde ve parasını hak ediyor. Çok memnun kaldım.,Olumlu,TRAIN
"Genel olarak standart, kararsız kaldım.",Nötr,TRAIN
"Ürün beklediğim gibi değil, problem çıkardı. Bir daha almam.",Olumsuz,TRAIN
"Kargo çok hızlı geldi, ürün harika. Çok memnun kaldım.",Olumlu,VALIDATE
Hızlı çalışıyor ve fiyatı uygun. 5/5.,Olumlu,TEST
"Teslimat orta halliydi, paketleme vasattı.",Nötr,TRAIN
"Kargo geç geldi, ürün arızalı çıktı. İade süreci çok zordu.",Olumsuz,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Ürün uyumsuz çıktı, problem çıkardı. Bir daha almam.",Olumsuz,TRAIN
"Kargo biraz geç geldi, ürün çok kaliteli. Tekrar alırım.",Olumlu,TRAIN
"Teslimat beklendiği gibiydi, paketleme normaldi.",Nötr,TRAIN
Beklentimin üstünde ve fiyat/performans mükemmel. 5/5.,Olumlu,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TRAIN
Beklentimin üstünde ve fiyat/performans mükemmel. 5/5.,Olumlu,VALIDATE
"Ürün idare eder, işimi görüyor ama geliştirilebilir.",Nötr,TEST
"Kargo biraz geç geldi, ürün gayet iyi. Kesinlikle tavsiye ederim.",Olumlu,TRAIN
"Paketleme sağlam, ürün çok kaliteli. Memnun kaldım.",Olumlu,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
Stabil ve fiyat/performans mükemmel. Tekrar alırım.,Olumlu,TRAIN
"Genel olarak standart, deneyim orta.",Nötr,TRAIN
"Paketleme düzgün, ürün beklediğimden iyi. Sorunsuzdu.",Olumlu,TRAIN
"Kargo zamanında geldi, ürün çok kaliteli. Çok memnun kaldım.",Olumlu,TRAIN
Malzeme kalitesi vasat. Tavsiye etmiyorum.,Olumsuz,TRAIN
"Kargo çok hızlı geldi, ürün çok kaliteli. Kesinlikle tavsiye ederim.",Olumlu,VALIDATE
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TEST
Beklentimin üstünde ve parasını hak ediyor. Çok memnun kaldım.,Olumlu,TRAIN
Beklediğim kadar ortalama hızdaydı ama çok da kötü değil.,Nötr,TRAIN
"Kargo geç geldi, ürün harika. Çok memnun kaldım.",Olumlu,TRAIN
Malzeme kalitesi kötü. Tavsiye etmiyorum.,Olumsuz,TRAIN
Destek ekibi çözüm sunmadı. Çözülmedi.,Olumsuz,TRAIN
"Teslimat beklendiği gibiydi, paketleme normaldi.",Nötr,TRAIN
"Kargo zamanında geldi, ürün beklediğimden iyi. Kesinlikle tavsiye ederim.",Olumlu,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Memnun kaldım.",Olumlu,TRAIN
"Ürün anlatıldığı gibi değil, sürekli hata verdi. Tavsiye etmiyorum.",Olumsuz,VALIDATE
"Kargo zamanında geldi, ürün gayet iyi. Kesinlikle tavsiye ederim.",Olumlu,TEST
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
"Ürün ortalama, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama geliştirilebilir.",Nötr,TRAIN
"Ürün idare eder, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,TRAIN
"Paketleme sağlam, ürün beklediğimden iyi. Beklentimi karşıladı.",Olumlu,TRAIN
"Paketleme çok iyi, ürün harika. Memnun kaldım.",Olumlu,TRAIN
"Kargo zamanında geldi, ürün gayet iyi. Çok memnun kaldım.",Olumlu,TRAIN
"Kargo çok hızlı geldi, ürün gayet iyi. 5/5.",Olumlu,VALIDATE
"Teslimat orta halliydi, paketleme vasattı.",Nötr,TEST
"Genel olarak idare eder, beklentim karışık.",Nötr,TRAIN
Beklediğim kadar beklediğim kadar hızlı değildi ama kullanılabilir.,Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TRAIN
Beklediğim kadar çok hızlı değildi ama kullanılabilir.,Nötr,TRAIN
Beklediğim kadar ortalama hızdaydı ama iş görür.,Nötr,TRAIN
"Teslimat beklendiği gibiydi, paketleme eh işte.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
"Genel olarak standart, beklentim karışık.",Nötr,TRAIN
Beklediğim kadar çok hızlı değildi ama iş görür.,Nötr,VALIDATE
Destek ekibi ulaşılmazdı. Şikayetçiyim.,Olumsuz,TEST
Beklentimin üstünde ve fiyat/performans mükemmel. Tekrar alırım.,Olumlu,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
Beklediğim kadar ortalama hızdaydı ama çok da kötü değil.,Nötr,TRAIN
Malzeme kalitesi vasat. Çok kötü deneyim.,Olumsuz,TRAIN
Beklediğim kadar çok hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
"Ürün idare eder, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
Malzeme kalitesi düşük. Bir daha almam.,Olumsuz,TRAIN
"Ürün yanlış ürün geldi, çalışmadı. Çok kötü deneyim.",Olumsuz,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,VALIDATE
"Paketleme düzgün, ürün çok kaliteli. Sorunsuzdu.",Olumlu,TEST
Beklediğim kadar hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
"Teslimat normaldi, paketleme normaldi.",Nötr,TRAIN
"Teslimat normaldi, paketleme vasattı.",Nötr,TRAIN
"Ürün anlatıldığı gibi değil, çalışmadı. Bir daha almam.",Olumsuz,TRAIN
"Teslimat standarttı, paketleme standarttı.",Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Paketleme özenli, ürün çok kaliteli. Sorunsuzdu.",Olumlu,TRAIN
"Ürün uyumsuz çıktı, çalışmadı. Bir daha almam.",Olumsuz,TRAIN
Hızlı çalışıyor ve fiyatı uygun. Çok memnun kaldım.,Olumlu,VALIDATE
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TEST
Performansı harika ve parasını hak ediyor. Tekrar alırım.,Olumlu,TRAIN
"Kargo zamanında geldi, ürün gayet iyi. Çok memnun kaldım.",Olumlu,TRAIN
"Genel olarak normal, kararsız kaldım.",Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama daha iyi beklerdim.",Nötr,TRAIN
"Ürün fena değil, işimi görüyor ama daha iyisi olabilir.",Nötr,TRAIN
"Ürün uyumsuz çıktı, problem çıkardı. Tavsiye etmiyorum.",Olumsuz,TRAIN
"Kargo çok hızlı geldi, ürün beklediğimden iyi. Kesinlikle tavsiye ederim.",Olumlu,TRAIN
"Paketleme çok iyi, ürün harika. Memnun kaldım.",Olumlu,TRAIN
"Kargo zamanında geldi, ürün eksik geldi. Hayal kırıklığı.",Olumsuz,VALIDATE
"Kargo biraz geç geldi, ürün çok kaliteli. Kesinlikle tavsiye ederim.",Olumlu,TEST
"Ürün uyumsuz çıktı, çalışmadı. Çok kötü deneyim.",Olumsuz,TRAIN
"Kargo zamanında geldi, ürün çok kaliteli. Kesinlikle tavsiye ederim.",Olumlu,TRAIN
Beklentimin üstünde ve parasını hak ediyor. Tekrar alırım.,Olumlu,TRAIN
"Paketleme özenli, ürün beklediğimden iyi. Beklentimi karşıladı.",Olumlu,TRAIN
"Teslimat standarttı, paketleme standarttı.",Nötr,TRAIN
Performansı harika ve parasını hak ediyor. 5/5.,Olumlu,TRAIN
"Teslimat orta halliydi, paketleme vasattı.",Nötr,TRAIN
"Ürün idare eder, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
"Ürün uyumsuz çıktı, sürekli hata verdi. Tavsiye etmiyorum.",Olumsuz,VALIDATE
"Paketleme özenli, ürün harika. Memnun kaldım.",Olumlu,TEST
Destek ekibi hiç yardımcı olmadı. Memnun değilim.,Olumsuz,TRAIN
"Paketleme özenli, ürün çok kaliteli. Sorunsuzdu.",Olumlu,TRAIN
"Kargo biraz geç geldi, ürün gayet iyi. Kesinlikle tavsiye ederim.",Olumlu,TRAIN
Destek ekibi geç döndü. Şikayetçiyim.,Olumsuz,TRAIN
"Genel olarak standart, beklentim karışık.",Nötr,TRAIN
"Ürün uyumsuz çıktı, problem çıkardı. Tavsiye etmiyorum.",Olumsuz,TRAIN
"Kargo çok hızlı geldi, ürün kalitesiz çıktı. İade ettim.",Olumsuz,TRAIN
"Ürün uyumsuz çıktı, performansı kötü. Tavsiye etmiyorum.",Olumsuz,TRAIN
"Paketleme çok iyi, ürün çok kaliteli. Sorunsuzdu.",Olumlu,VALIDATE
"Kargo çok hızlı geldi, ürün çok kaliteli. Çok memnun kaldım.",Olumlu,TEST
"Paketleme özenli, ürün harika. Memnun kaldım.",Olumlu,TRAIN
Beklediğim kadar hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
"Ürün ne iyi ne kötü, işimi görüyor ama ortalamanın üstüne çıkmıyor.",Nötr,TRAIN
"Teslimat orta halliydi, paketleme standarttı.",Nötr,TRAIN
Hızlı çalışıyor ve fiyat/performans mükemmel. Tekrar alırım.,Olumlu,TRAIN
Malzeme kalitesi vasat. Tavsiye etmiyorum.,Olumsuz,TRAIN
Malzeme kalitesi vasat. Bir daha almam.,Olumsuz,TRAIN
Malzeme kalitesi vasat. Pişman oldum.,Olumsuz,TRAIN
Malzeme kalitesi düşük. Bir daha almam.,Olumsuz,VALIDATE
"Kargo çok hızlı geldi, ürün harika. Tekrar alırım.",Olumlu,TEST
"Genel olarak normal, kararsız kaldım.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Gayet başarılı.",Olumlu,TRAIN
"Kargo çok hızlı geldi, ürün kalitesiz çıktı. İade ettim.",Olumsuz,TRAIN
"Paketleme özenli, ürün çok kaliteli. Sorunsuzdu.",Olumlu,TRAIN
"Kargo çok hızlı geldi, ürün kalitesiz çıktı. İade süreci çok zordu.",Olumsuz,TRAIN
"Kargo biraz geç geldi, ürün eksik geldi. Değişim istedim.",Olumsuz,TRAIN
Stabil ve iyi bir tercih. Tekrar alırım.,Olumlu,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Sorunsuzdu.",Olumlu,TRAIN
"Kargo geç geldi, ürün beklediğimden iyi. Çok memnun kaldım.",Olumlu,VALIDATE
Performansı harika ve fiyatı uygun. 5/5.,Olumlu,TEST
"Genel olarak standart, çok emin değilim.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Sorunsuzdu.",Olumlu,TRAIN
Malzeme kalitesi düşük. Bir daha almam.,Olumsuz,TRAIN
"Paketleme düzgün, ürün beklediğimden iyi. Beklentimi karşıladı.",Olumlu,TRAIN
Beklediğim kadar çok hızlı değildi ama iş görür.,Nötr,TRAIN
Beklentimin üstünde ve fiyatı uygun. Çok memnun kaldım.,Olumlu,TRAIN
"Ürün uyumsuz çıktı, performansı kötü. Bir daha almam.",Olumsuz,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Memnun kaldım.",Olumlu,TRAIN
"Kargo çok hızlı geldi, ürün harika. Kesinlikle tavsiye ederim.",Olumlu,VALIDATE
Destek ekibi hiç yardımcı olmadı. Çözülmedi.,Olumsuz,TEST
Beklentimin üstünde ve parasını hak ediyor. Kesinlikle tavsiye ederim.,Olumlu,TRAIN
"Genel olarak standart, çok emin değilim.",Nötr,TRAIN
"Teslimat orta halliydi, paketleme normaldi.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Memnun kaldım.",Olumlu,TRAIN
"Genel olarak orta seviye, beklentim karışık.",Nötr,TRAIN
"Kargo çok hızlı geldi, ürün gayet iyi. Çok memnun kaldım.",Olumlu,TRAIN
"Genel olarak idare eder, kararsız kaldım.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Memnun kaldım.",Olumlu,TRAIN
Beklediğim kadar hızlı değildi ama idare eder.,Nötr,VALIDATE
"Paketleme düzgün, ürün harika. Memnun kaldım.",Olumlu,TEST
"Kargo biraz geç geldi, ürün çok kaliteli. Çok memnun kaldım.",Olumlu,TRAIN
Malzeme kalitesi vasat. Çok kötü deneyim.,Olumsuz,TRAIN
"Paketleme özenli, ürün gayet iyi. Beklentimi karşıladı.",Olumlu,TRAIN
"Kargo biraz geç geldi, ürün harika. Çok memnun kaldım.",Olumlu,TRAIN
"Ürün fena değil, işimi görüyor ama geliştirilebilir.",Nötr,TRAIN
"Kargo zamanında geldi, ürün hasarlı geldi. Hayal kırıklığı.",Olumsuz,TRAIN
Beklediğim kadar ortalama hızdaydı ama idare eder.,Nötr,TRAIN
Malzeme kalitesi berbat. Bir daha almam.,Olumsuz,TRAIN
"Genel olarak standart, beklentim karışık.",Nötr,VALIDATE
Destek ekibi geç döndü. Zaman kaybı.,Olumsuz,TEST
"Ürün beklediğim gibi değil, problem çıkardı. Bir daha almam.",Olumsuz,TRAIN
Malzeme kalitesi vasat. Pişman oldum.,Olumsuz,TRAIN
"Kargo zamanında geldi, ürün hasarlı geldi. Hayal kırıklığı.",Olumsuz,TRAIN
Beklediğim kadar çok hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
"Paketleme düzgün, ürün çok kaliteli. Gayet başarılı.",Olumlu,TRAIN
"Teslimat orta halliydi, paketleme eh işte.",Nötr,TRAIN
"Kargo zamanında geldi, ürün eksik geldi. İade süreci çok zordu.",Olumsuz,TRAIN
"Genel olarak idare eder, çok emin değilim.",Nötr,TRAIN
"Genel olarak orta seviye, beklentim karışık.",Nötr,VALIDATE
"Ürün anlatıldığı gibi değil, performansı kötü. Bir daha almam.",Olumsuz,TEST
"Genel olarak normal, beklentim karışık.",Nötr,TRAIN
"Teslimat normaldi, paketleme standarttı.",Nötr,TRAIN
